regions,pred,coeff,dea,corr,pop
01,5.26193,0.218445185169722,2328,0.168445185169722,4424800
02,5.96782,0.944838979336877,76,0.894838979336877,128466
03,5.64244,0.197802591696308,5665,0.147802591696308,10040168
04,4.86459,-0.829464246142182,522,-0.879464246142182,1074819
05,4.71581,-0.0943412136438229,2313,-0.1443412136438229,4905854
06,4.68465,0.273231012812904,682,0.22323101281290403,1457285
07,5.22192,0.416820625489132,831,0.366820625489132,1592958
08,5.45756,0.0267512484506415,2434,-0.0232487515493585,4460585
09,5.57422,-0.293290194485103,2063,-0.343290194485103,3701243
10,5.5361,-0.942464214420759,153,-0.992464214420759,278131
11,5.5143,0.507788544085057,841,0.45778854408505704,1525271
12,4.86336,-0.199961411005386,2859,-0.249961411005386,5879082
13,5.01251,0.663658143287737,657,0.6136581432877369,1311580
14,4.87397,0.461808649741047,148,0.41180864974104703,305617
15,3.82831,0.342976197302048,2221,0.292976197302048,5801692
16,4.51897,-0.0156756221236084,1820,-0.0656756221236084,4029053
17,4.7558,-0.390322839880935,267,-0.440322839880935,562869
18,3.62565,-0.192419510209854,705,-0.24241951020985403,1947131
19,3.71707,-0.203284531756138,1858,-0.253284531756138,4999891
20,4.98598,-0.394731391705859,817,-0.444731391705859,1639591
